Date,Close,High,Low,Open,Volume
2018-01-02,53.22063446044922,53.357999362017694,52.21941091232708,52.21941091232708,31766000
2018-01-03,54.128631591796875,54.35575453121397,53.23154686819996,53.25633966895291,31318000
2018-01-04,54.338890075683594,54.7514804041107,54.26450789235017,54.40484656612366,26052000
2018-01-05,55.05943298339844,55.22258571487363,54.63841320373191,54.720237383951606,30250000
2018-01-08,55.25382995605469,55.4993025166289,55.04505664237201,55.09464602680576,24644000
2018-01-09,55.18341064453125,55.463596141591765,54.95579208730221,55.463596141591765,26808000
2018-01-10,55.0519905090332,55.18290843057705,54.74651661990654,54.89627600748767,20734000
2018-01-11,55.1467170715332,55.28556886064353,54.870500380318546,55.159610992440236,22424000
2018-01-12,56.069091796875,56.10132281445176,54.94637108166763,55.05001429043601,38586000
2018-01-16,56.07156753540039,56.97311661601301,55.87122371564505,56.54812802368967,36462000
2018-01-17,56.488128662109375,56.49903628307341,55.71402429869447,56.352250653332995,27830000
2018-01-18,56.33291244506836,56.562017897308706,55.762129438763544,56.50052585015715,27498000
2018-01-19,56.706321716308594,56.720206894332954,56.16083095816857,56.43506511586326,30552000
2018-01-22,57.73085403442383,57.86574078088286,56.62300979947485,56.722192343467434,29550000
2018-01-23,58.32643508911133,58.44247659523314,57.884091874682795,58.051209652613295,39138000
2018-01-24,58.08443069458008,58.86597325427586,57.89152509119523,58.763321307092504,37128000
2018-01-25,58.62248611450195,58.764315457472286,58.11170828169678,58.551573334730485,29984000
2018-01-26,58.89126205444336,58.89126205444336,57.92276899966967,58.88977516753866,42170000
2018-01-29,58.83770751953125,59.408986114209235,58.71769720777798,58.913084740245644,31494000
2018-01-30,58.38594055175781,58.90961228811915,58.24411121339858,58.40329891610791,37338000
2018-01-31,58.62644577026367,58.82976712701153,58.12459312110439,58.705292384975714,36022000
2018-02-01,58.59521484375,58.88581613611775,57.98872761220366,58.31751125615229,73514000
2018-02-02,55.501277923583984,56.10131810025755,55.10306844525168,55.90890813522095,117842000
2018-02-05,52.6840705871582,55.29251313625169,52.40388885538336,54.57940513316768,83550000
2018-02-06,53.77703094482422,53.92332093628484,51.07833510949319,51.275209521008335,76630000
2018-02-07,52.337928771972656,53.88117365517062,52.29875138174202,53.803813916102946,51942000
2018-02-08,49.97248458862305,52.76043944735816,49.82321701800605,52.55910434558178,66792000
2018-02-09,51.88467025756836,52.15493558662901,49.44136332550892,50.87352667351269,98360000
2018-02-12,52.295772552490234,52.841758900887086,51.84599118550171,52.4004070092241,56240000
2018-02-13,52.27495193481445,52.6260502237265,51.9169110564332,52.06964802475591,31586000
2018-02-14,53.195343017578125,53.332707921134535,52.05973210888085,52.283877489834836,41304000
2018-02-15,54.120689392089844,54.25656738824883,52.92407846066548,53.72843125081427,37396000
2018-02-16,54.32600021362305,54.96124903312961,54.130117040712896,54.22086633158134,39948000
2018-02-20,54.72718048095703,55.35697356321542,54.053249936484505,54.19011920041888,33754000
2018-02-21,55.23101806640625,56.3443180642119,54.92157532240857,55.000425732948564,41486000
2018-02-22,55.04009246826172,55.811714885519635,54.80454007218007,55.49979401074562,28010000
2018-02-23,55.942142486572266,55.9872712108776,54.967698009947114,55.47450705289825,25292000
2018-02-26,56.716243743896484,56.741036543518234,56.00412704241539,56.12909364877986,30912000
2018-02-27,55.41748046875,56.74352267923862,55.381776261916706,56.7162479492332,42964000
2018-02-28,54.74354934692383,55.920323975107024,54.69792877661116,55.64013845884599,49292000
2018-03-01,53.13136672973633,55.108029569544456,52.92705409936514,55.02224036000283,55338000
2018-03-02,53.76265335083008,53.899026988063376,52.07510100225839,52.46537287912138,50162000
2018-03-05,54.2892951965332,54.60766301593922,53.174012787298004,53.46461403558384,28648000
2018-03-06,54.59377670288086,54.82834160824872,54.27640014796475,54.65328622571274,23382000
2018-03-07,55.29498291015625,55.352509918281086,54.048782578410666,54.19309005252428,30748000
2018-03-08,56.0061149597168,56.108267501930335,55.402105894745624,55.402105894745624,33862000
2018-03-09,57.56621551513672,57.57414936212211,56.249597958853435,56.507960640273545,42662000
2018-03-12,57.81863021850586,58.42511738881455,57.484886534640694,57.77498838527019,44306000
2018-03-13,56.528297424316406,58.4171887778618,56.26348776106414,58.1112154225278,43140000
2018-03-14,56.97361373901367,57.512657541407506,56.64929456873817,56.82038115055427,41870000
2018-03-15,57.05890655517578,57.648534772424746,56.31753642186147,57.00733465855208,33382000
2018-03-16,56.25605010986328,57.36637261327079,56.10430439491228,57.293972942349725,58656000
2018-03-19,54.5526237487793,55.50970975837877,53.99969099855427,55.42987187779874,63656000
2018-03-20,54.34087371826172,54.82437680342682,53.6773551646342,54.46980535202091,54598000
2018-03-21,54.251609802246094,54.980585410309004,53.91489235343885,54.18069702731863,44898000
2018-03-22,52.22584915161133,53.75173546748775,52.05178503253973,53.557838624870314,69312000
2018-03-23,50.906761169433594,52.90177394256049,50.82345009162017,52.137589650148506,49880000
2018-03-26,52.27246856689453,52.529348153609014,50.11480262154062,52.09939946393313,65984000
2018-03-27,49.93429183959961,52.790684742551996,49.472112163939144,52.75894557229753,60816000
2018-03-28,49.84701919555664,50.829401328072805,48.79670183550129,49.68486148491231,77698000
2018-03-29,51.43191146850586,51.972941540520445,49.79047919799269,50.14604189126443,69338000
2018-04-02,50.216461181640625,51.55043709116375,49.304995725569974,50.959817615214966,65068000
2018-04-03,50.5164794921875,50.82989103838948,49.45376396334763,50.39101726128376,51322000
2018-04-04,51.0634651184082,51.213723943837955,49.41707256609332,49.50236615694031,50724000
2018-04-05,51.208763122558594,51.90649525559335,50.78030509168495,51.89062756065063,35836000
2018-04-06,50.08355712890625,51.37537799917376,49.9000722713159,50.735664817411,40134000
2018-04-09,50.58640670776367,51.80136361150486,50.542269243842824,50.58392477939644,33220000
