Open,High,Low,Close,Volume,SMA_10,SMA_20,SMA_50,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width
0.07913051114433428,0.07313220824722455,0.08233184991743747,0.0816162121891531,0.2628485621558781,0.05158530539916073,0.04082582026135517,0.03365294724635359,0.5760015540035123,0.5590569466867696,0.5298280393146798,0.6185022984677491,0.04269202706953401,0.05465559438175083,0.10864156433681216
0.08097792164143042,0.07448944609680597,0.0789873836195274,0.08247101816264851,0.19432289732452812,0.055663767473364434,0.04286569507792293,0.03448630235954897,0.535524414641949,0.5637547419250883,0.5378459248520567,0.6115323864230414,0.04390917378305681,0.057447290137780826,0.10400852434628216
0.08381038293102333,0.071671010960497,0.07683778357358906,0.07442477797275987,0.39836597613550123,0.05825297714904787,0.04399311760121927,0.03494820163510404,0.44194758431711256,0.5604646782499296,0.5435259157040762,0.5880469375075079,0.04441596190111863,0.059161316114015206,0.1004163074144275
0.06538997503827654,0.053125349691821255,0.05562109713946439,0.05735301162263157,0.4387321783217348,0.058526424538793975,0.04411276974041867,0.03499460690417844,0.419814052809373,0.5438657090722416,0.5443651427503233,0.5394187799670264,0.044316106178935555,0.05950164154401916,0.09907983628136743
0.055902926645189754,0.04627975960242481,0.05237161753119102,0.05523084941579087,0.36560476644115414,0.058263803336447206,0.04390880844173073,0.034838595286722174,0.44522775549299376,0.5287692161894193,0.5416671002111476,0.5038849449019903,0.04445376455695904,0.05895508625777102,0.10115558933604912
0.05304605725785988,0.04784008160857445,0.05476623882364928,0.054336245015782325,0.2872943341998611,0.05718033688187607,0.04339170286452032,0.034620995994876336,0.5468123374427488,0.5159859669301865,0.5366555406599638,0.4806443832372455,0.04459418144196914,0.05778447366058903,0.1051213998239317
0.04689118397834374,0.03556545957391333,0.035984184176918066,0.03403403923864884,0.48439442623480206,0.05325480807401928,0.041905845568926736,0.03397885835275849,0.37660040730444044,0.4899192039240629,0.5268283866914248,0.4322690661645587,0.0470040986237974,0.052351994262165746,0.12899149958409817
0.03285677032924644,0.027075442934018534,0.023601293655234556,0.02081411829491614,0.3275152180582242,0.04633945312130339,0.03924727727033639,0.0330788575241906,0.279423434085021,0.4593041869984208,0.5121336209693013,0.3833712060960786,0.05036206988719483,0.04361556883499518,0.1657699071608115
0.032479387996837084,0.023355390846255375,0.016457391981401504,0.034501259767388326,0.45752668205964503,0.0405801709857061,0.036901063733055905,0.03245480856965555,0.3499658318414367,0.4466057998914146,0.4975436234687293,0.3844236609951937,0.04943986830773117,0.03991204508551105,0.17406891895904658
0.03899679661334482,0.02596580546346894,0.009978405419436731,0.011068015052139557,0.41580417547995413,0.03373277977144984,0.034006063226334926,0.03112283762370549,0.22558418428430974,0.4189372519463703,0.4796962127357074,0.3517011382286108,0.05271186185612031,0.030795238388168333,0.21172686965873933
0.008619751149944788,0.006375120078147334,0.003169568614713847,0.010193367211823567,0.552096620541553,0.026332333982089895,0.03142080522626878,0.029771380755009957,0.17643838487004473,0.39757142099450915,0.4606495906578927,0.3396543950825439,0.055266015795325196,0.02303305548379664,0.24306921966198075
0.013176977879062579,0.017797608211242766,0.013187875407685068,0.02607718302684653,0.4846043304861705,0.020489112252276787,0.03052353099859484,0.028673588741383482,0.17814831316596244,0.3945481902512821,0.4447375305302493,0.3711428085745586,0.0559253617587705,0.020573203482882607,0.2525351568496439
0.021218430702327262,0.013577335057378681,0.008293698348293799,0.0138959207300981,0.4501315938191271,0.014217442076461029,0.02865122114002916,0.027345601613532167,0.13235235201960835,0.3838897719723211,0.4296290032733764,0.37921474197114186,0.05739280699932725,0.01534585859869042,0.2728569671233596
0.01559774053257218,0.00638001165101898,0.009793436522415433,0.016902709057101062,0.33915683076873393,0.0100262022652432,0.026659259142263858,0.026001680041522923,0.18338671970235818,0.3792986135476581,0.4165174692838778,0.39927564704925406,0.05788783196720948,0.010883804212085568,0.2878485638556267
0.006816394860046093,0.010214006083267724,0.009423549173165569,0.022384607788418276,0.3343290329872604,0.006622853790049565,0.024795333875933023,0.024554074841136475,0.19030923201195685,0.3814571299426668,0.40651000678971294,0.4304577670097499,0.05745769164822234,0.007629679189956606,0.2963223264897158
0.030416375594698286,0.017133895739388838,0.023166347295770273,0.023840786719697082,0.21413462935753153,0.0034630806668493053,0.02263790155766865,0.023008705419431452,0.19434680709373134,0.38571769656686505,0.39945496336383,0.4601164542207927,0.05599335504168179,0.004859649521435472,0.3001216154567156
0.019003429571557484,0.01182872107854338,0.01429268728243327,0.012563954178974324,0.24883341675681786,0.0012384675108274568,0.019510923975659566,0.021271577688141807,0.1858514505889806,0.3815768742449903,0.39288672808536573,0.4650067120880399,0.05376574989296268,0.0009532445683019808,0.3049742407408252
0.017503986517185155,0.016083766549403244,0.020766699002888078,0.01760352073473176,0.19301503237369416,0.0009058028962614095,0.015825741611745214,0.019526806161169974,0.2701314167981804,0.383714873915196,0.38810932538067167,0.4829966186441269,0.0476000676850874,0.0,0.2886811812896348
0.0225121792480239,0.014409568650347038,0.018872055552944356,0.025759216155270936,0.2204640498603329,0.0,0.012436946426330642,0.01790036397056638,0.32820672376051907,0.39319503397639977,0.3864033039597017,0.5138503472961478,0.039524417843379456,0.0016040795129373397,0.25874055569008814
0.023364735576571205,0.011764342435836905,0.020766660104668988,0.020073508190772305,0.19979655434098137,0.0009331000998358263,0.009429884827283352,0.0161623740449649,0.3109075277763659,0.39744935765489814,0.38598802001363847,0.5268165211876173,0.03356851956024165,0.0017797786509097246,0.23969596960161516
0.023105124950851985,0.016113509223320333,0.02419121547914138,0.026151809855428476,0.19039930247202624,0.002586626918938295,0.006507921904937208,0.014654151035260465,0.4286591746067361,0.40679962795619784,0.38774270317771453,0.548615044462744,0.025394075586841813,0.004411822059260384,0.2063489987998155
0.030661342153442905,0.02023961493495774,0.026240779995019947,0.02553048033795252,0.1299630245587974,0.002529980567013479,0.0035081935512242257,0.01308024969054511,0.4961730018490218,0.41477440610047434,0.39092636047947754,0.5629698823099986,0.015209144940054653,0.008962593135937724,0.16096729863692297
0.03000468095620029,0.01947183766007765,0.02812546868438426,0.030530248467196708,0.16521079230781652,0.004253538914484989,0.0011957520155276846,0.011621444246468937,0.44460431858900584,0.4259951105977413,0.39597766354944347,0.5817314200114849,0.005803657088722436,0.014073120368637504,0.11632100232281509
0.03767372629855398,0.03610047916602033,0.039708643575894986,0.047060243921918155,0.3654917410750327,0.007378298254142379,0.0006535107882834623,0.011192492223297212,0.7079975211044,0.4486861951572209,0.4050831861791726,0.6224583043144929,0.0032303509562444654,0.015650743811139067,0.10356505975096111
0.04640125562030334,0.03461449579991327,0.046422636744205104,0.045087258910326666,0.17610966689809954,0.009730623185412846,0.00011912847982376018,0.01133246172583613,0.6981256757427385,0.46557432952575767,0.4161369094237919,0.642029060133724,0.0006640095380918698,0.017236776445897717,0.09080541508089188
0.041505811804781134,0.04229723908355265,0.04567273511718706,0.05207496035545306,0.24681510664750617,0.012656094320945277,0.0,0.011386512447066122,0.6567208209454998,0.4847607194593303,0.42926214659420775,0.6628385665613716,0.0,0.017685105724243644,0.0873895582611166
0.04897880871175625,0.04093008149545829,0.04721247177151666,0.046046435397156416,0.26740186976248526,0.016125366473672798,0.0006328342992412139,0.011622414939777115,0.7182231193543275,0.4953069277604169,0.44211617105841133,0.6601140844891532,0.0020686936701992398,0.016807502285398068,0.09646632833184826
0.0483466349152995,0.03758654492301161,0.04450290107704491,0.04430195681713972,0.4866387870763567,0.018891712856980103,0.0018702152210627876,0.01233410375129862,0.6846871891750448,0.5023280104868735,0.45396644372383127,0.6500308409017275,0.004343164441139469,0.016917018183635335,0.1032067048773832
0.03669367037839294,0.025941048326426075,0.017597229647572488,0.018870838737119866,0.9599728739121309,0.018177976745293978,0.0010467769653632608,0.012079683544440223,0.4469745157370506,0.4879051691647959,0.46022759166437327,0.5938849828223302,0.0036151829397021995,0.01603410456604637,0.10360557026832568
0.022262192164651917,0.011863454998814138,0.01967184934163535,0.019044789592677025,0.3919396767474529,0.018071386532874878,0.0014670075721427978,0.011739774411073989,0.43847622509808626,0.4769545757269665,0.4627924195542562,0.556753397610682,0.0032353628730151796,0.017259384264465272,0.09873071962167032
0.023962615244157937,0.01976416481092913,0.021391592028106365,0.02914368810909801,0.33595982755558423,0.018381388645387742,0.0024653440311787067,0.01162316863509294,0.5766886910326273,0.47664365411232723,0.4647748864898065,0.5509032587960291,0.0028957894260964734,0.019590007585073232,0.09064846070511326
0.029999857583138223,0.019605657442287816,0.02496107151282667,0.023249353810802564,0.25377423990441283,0.018145030751660518,0.002316368981014283,0.011179035034842633,0.5054940423311716,0.47211207841040054,0.4653494462718344,0.5367600504903022,0.0028372314526178277,0.019354850808137036,0.09117540243644845
0.024550665850608888,0.01300272575114303,0.020316780067512363,0.0168530470436134,0.20328419420987193,0.016727873710135288,0.0024721556312120585,0.010395422984263658,0.41093742756369167,0.46393114536090674,0.4639831710956987,0.5172632867785267,0.0026555269839677598,0.01985125322597503,0.08911393185704608
0.01567121547620337,0.014667027334028027,0.01647233347971999,0.027871323620350885,0.21001727673453569,0.014739622409124076,0.0030500016678550734,0.009805934687029949,0.5176038326154845,0.46666062494974336,0.4634993503619891,0.526128031139205,0.002615374685571159,0.021038980163971543,0.08540821160852949
0.024344913726677297,0.015781675770766834,0.022746453095268904,0.02056565530364879,0.20494728173994475,0.012198827538561385,0.0029541760302501663,0.00897107301143929,0.4349368740493528,0.46351651987369313,0.4624105530635924,0.5200507059739448,0.002641874412219969,0.0208215583810486,0.08614609930848227
0.020115854798128108,0.009198494322761541,0.015112589925108888,0.020689791221889242,0.24195501590428364,0.008946867429207583,0.0027881760081517326,0.008029508785024508,0.43936883534218063,0.4616413548242139,0.46112099242616467,0.5180339268724492,0.002660489932381993,0.020473054581074623,0.08725467933330563
0.01729320443132909,0.019694749860320382,0.02019172870284036,0.03296548398308313,0.222659971259264,0.007591490562830705,0.0038629647219661223,0.007395338779103922,0.4832387978384368,0.47032484441560485,0.4620274337752305,0.5400939849217768,0.0025284820044247924,0.022741323966658955,0.08000566326224434
0.034091568786373594,0.026193647747183357,0.03629918844844293,0.03717008643216585,0.20254145608964524,0.006852525037479573,0.004893766048221337,0.006656406780738644,0.4051577526682243,0.4808432784693739,0.4651002225783129,0.5618561467433743,0.0030384958241332916,0.024260347612506727,0.07701139015068517
0.039349630346849185,0.026307609438617874,0.036984104168131804,0.03673773253645235,0.13496843362989036,0.008703795160199923,0.00547213373016564,0.005740037512028784,0.4142855610382239,0.4890378924204693,0.46938743009733835,0.5740556563679852,0.003650154169684283,0.02477703220342542,0.07735506633445552
0.039094839739442555,0.04055857338458091,0.04221825087365372,0.05182642090227124,0.30555600406891315,0.01210044906652974,0.007144933394736874,0.0054325339643021,0.4676943614826512,0.5075077562093582,0.47693953141678863,0.6068533255892534,0.006496358933781088,0.025160817474565222,0.08504587001333769
